timestamp,driver_id,speed_mph,accel_ms2,harsh_brake,mileage,is_night,is_peak,road_type,lat,lon
2024-05-25T11:51:00,D00265,40.03,0.488,0,1.014,0,0,rural,41.341579,-72.873636
2024-05-12T14:34:00,D00389,73.55,1.033,0,0.277,0,0,highway,41.376493,-72.883141
2024-02-13T02:18:00,D00247,47.14,1.33,0,0.696,1,0,highway,41.313274,-72.932205
2024-04-18T03:37:00,D00026,76.51,0.466,0,1.268,1,0,highway,41.298733,-72.857709
2024-05-31T17:31:00,D00401,64.27,0.966,1,0.252,0,1,highway,41.340174,-72.954839
2024-03-11T15:54:00,D00148,23.63,0.952,0,0.744,0,0,urban,41.318469,-72.978327
2024-05-13T20:38:00,D00009,79.7,0.878,0,0.439,0,0,highway,41.246076,-72.97234
2024-04-07T02:45:00,D00100,72.11,1.209,0,0.992,1,0,highway,41.317699,-73.000306
2024-04-11T23:23:00,D00384,66.79,0.877,0,0.05,1,0,highway,41.250483,-72.942589
2024-01-02T07:35:00,D00472,32.1,1.612,0,0.887,0,1,rural,41.399365,-73.010488
2024-02-23T14:23:00,D00323,27.57,0.736,1,0.58,0,0,urban,41.276469,-72.900843
2024-01-08T08:53:00,D00301,15.54,0.215,0,0.518,0,1,urban,41.244168,-72.892209
2024-03-09T17:27:00,D00052,81.32,1.646,0,0.656,0,1,highway,41.376432,-72.979929
2024-01-09T19:31:00,D00230,32.46,0.75,0,0.41,0,1,rural,41.337278,-72.901675
2024-03-21T23:20:00,D00138,34.16,0.0,0,0.663,1,0,urban,41.400691,-72.936609
2024-05-09T04:12:00,D00027,53.17,1.338,0,0.208,1,0,highway,41.307422,-72.973021
2024-06-25T11:48:00,D00407,52.02,1.944,0,0.55,0,0,rural,41.242458,-72.88611
2024-02-21T05:12:00,D00306,82.1,1.401,0,0.618,1,0,highway,41.28653,-72.951855
2024-01-31T19:34:00,D00052,59.32,0.0,1,0.526,0,1,highway,41.192282,-72.976082
2024-04-11T04:34:00,D00139,31.74,1.313,0,0.481,1,0,urban,41.336227,-72.938977
2024-02-11T11:58:00,D00313,70.28,0.108,0,0.677,0,0,highway,41.257186,-72.932709
2024-03-15T23:45:00,D00098,56.57,1.223,1,0.408,1,0,highway,41.330691,-72.924986
2024-04-18T15:31:00,D00477,70.57,0.0,0,1.216,0,0,highway,41.257269,-73.020892
2024-01-09T12:39:00,D00135,69.85,0.818,0,0.445,0,0,highway,41.410738,-72.838642
2024-01-15T07:12:00,D00055,42.4,1.853,1,0.919,0,1,urban,41.219119,-72.923719
2024-03-06T01:50:00,D00374,64.21,1.541,0,0.871,1,0,highway,41.253626,-72.90805
2024-05-22T23:39:00,D00460,63.58,1.314,0,0.729,1,0,rural,41.254179,-72.935453
2024-04-01T07:30:00,D00343,46.26,1.85,0,1.159,0,1,highway,41.310246,-72.970152
2024-02-03T08:16:00,D00446,76.6,1.104,0,0.729,0,1,highway,41.279405,-72.915256
2024-04-09T15:17:00,D00181,61.64,0.371,0,1.303,0,0,highway,41.250196,-73.033733
2024-06-07T09:34:00,D00065,45.44,2.189,1,0.667,0,1,rural,41.270655,-72.972617
2024-05-12T00:41:00,D00075,85.23,1.917,0,0.846,1,0,highway,41.326574,-72.768957
2024-04-12T20:26:00,D00068,76.4,0.934,0,0.918,0,0,highway,41.329548,-73.024748
2024-04-14T13:52:00,D00213,46.03,1.949,0,0.658,0,0,rural,41.279056,-72.930229
2024-01-24T00:49:00,D00200,21.39,1.092,0,0.79,1,0,urban,41.319578,-72.880518
2024-01-09T03:08:00,D00387,57.94,0.0,0,0.508,1,0,rural,41.280414,-72.948319
2024-01-15T17:25:00,D00414,74.81,0.979,0,0.748,0,1,highway,41.387714,-72.95901
2024-02-15T14:03:00,D00357,58.16,1.597,0,0.582,0,0,highway,41.35767,-72.870025
2024-04-13T09:00:00,D00297,74.56,1.377,0,0.742,0,1,highway,41.402409,-72.936386
2024-06-06T10:09:00,D00315,33.94,1.925,0,1.006,0,1,urban,41.250757,-72.932294
2024-06-06T09:03:00,D00303,73.93,0.875,0,0.05,0,1,highway,41.327444,-73.110321
2024-01-06T09:50:00,D00223,31.32,0.948,0,0.799,0,1,urban,41.328702,-72.847056
2024-02-07T21:57:00,D00083,62.74,1.347,0,0.701,0,0,highway,41.302991,-72.916744
2024-06-15T06:44:00,D00001,54.06,1.338,0,0.264,0,0,rural,41.319774,-72.891121
2024-06-26T12:18:00,D00365,53.44,1.952,0,1.26,0,0,highway,41.302813,-72.910264
2024-06-01T06:45:00,D00192,30.75,0.682,0,0.801,0,0,urban,41.32531,-72.894396
2024-01-24T15:11:00,D00361,21.08,0.391,0,0.818,0,0,urban,41.294607,-72.944742
2024-04-27T23:50:00,D00251,76.03,1.017,0,0.813,1,0,highway,41.308068,-72.875623
2024-05-09T05:44:00,D00025,62.53,0.639,0,1.037,1,0,highway,41.26056,-72.879205
